Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Абаринова,Анна,жен,55,175,Мурманск,учитель,600000,да
Абатов,Никита,муж,43,186,Рязань,бухгалтер,30000,да
Абгафаров,Никита,муж,37,166,Владимир,директор предприятия,50000,нет
Абдиязова,Евгения,жен,18,184,Калининград,директор предприятия,70000,да
Абдрязякова,Юлия,жен,24,170,Калининград,учитель,20000,да
Абдулгасанов,Антон,муж,56,188,Казань,конструктор,500000,нет
Абдулдианов,Андрей,муж,32,174,Санкт-Петербург,директор предприятия,300000,нет
Абдуллянова,Мария,жен,18,162,Владимир,учитель,350000,нет
Абдурахманов,Александр,муж,40,172,Калининград,учитель,45000,нет
Абдурохманова,Мария,жен,55,177,Казань,директор предприятия,100000,да
Абезгауз-алмазова,Кристина,жен,27,174,Казань,руководитель группы,100000,да
Абзалова,Мария,жен,44,188,Ачинск,инженер,900000,нет
Абилев,Максим,муж,53,171,Казань,кондитер,700000,нет
Абишев,Андрей,муж,41,179,Казань,руководитель группы,45000,да
Аблова,Дарья,жен,28,185,Рязань,конструктор,100000,да
Аблурашидова,Кристина,жен,50,183,Уфа,директор предприятия,200000,да
Аболемова,Кристина,жен,31,170,Казань,учитель,900000,да
Аболоншев,Пётр,муж,28,188,Мурманск,кондитер,150000,нет
Абракимова,Кристина,жен,57,176,Владимир,кондитер,25000,нет
Абрасулина,Мария,жен,50,166,Уфа,учитель,35000,нет
Абрашитов,Андрей,муж,20,185,Омск,кондитер,25000,да
Абрезков,Пётр,муж,46,174,Казань,кондитер,70000,нет
Абросенков,Василий,муж,52,183,Санкт-Петербург,бухгалтер,800000,да
Абрюханов,Александр,муж,55,173,Омск,конструктор,500000,да
Абубекарова,Анна,жен,26,172,Омск,кондитер,800000,да
Абулханова,Диана,жен,53,169,Москва,директор предприятия,70000,да
Абуталибов,Пётр,муж,34,185,Ачинск,кондитер,800000,нет
Абыкина,Юлия,жен,54,184,Уфа,директор предприятия,200000,нет
Абясова,Евгения,жен,52,168,Омск,бухгалтер,300000,да
Авгитов,Андрей,муж,59,166,Санкт-Петербург,бухгалтер,900000,нет
Авдаев,Василий,муж,26,161,Омск,бухгалтер,20000,нет
Авдошенкоа,Дарья,жен,57,160,Калининград,руководитель группы,70000,нет
Авдякова,Юлия,жен,29,168,Москва,руководитель группы,30000,да
Аверичева,Анастасия,жен,34,174,Омск,ведущий инженер,600000,да
Авилов,Сергей,муж,51,182,Мурманск,инженер,800000,да
Авлов,Михаил,муж,30,169,Омск,бухгалтер,400000,нет
Аврякова,Анастасия,жен,48,158,Казань,директор предприятия,700000,нет
Автамошина,Диана,жен,50,171,Санкт-Петербург,ведущий инженер,800000,нет
Авхадиева,Диана,жен,20,168,Мурманск,бухгалтер,80000,да
Агабабяна,Кристина,жен,45,175,Омск,руководитель группы,250000,да
Агадшикова,Юлия,жен,45,155,Москва,конструктор,60000,нет
Агальцева,Кристина,жен,50,178,Мурманск,инженер,100000,да
Агапиев,Максим,муж,41,174,Владимир,руководитель группы,50000,да
Агафенов,Максим,муж,56,178,Калининград,ведущий инженер,400000,нет
Агдавлетов,Сергей,муж,58,175,Мурманск,конструктор,500000,нет
Агещев,Василий,муж,44,158,Казань,бухгалтер,60000,нет
Агзибеков,Сергей,муж,46,183,Ачинск,учитель,60000,да
Аглиева,Диана,жен,35,165,Уфа,руководитель группы,400000,да
Аглова,Диана,жен,56,175,Москва,конструктор,20000,да
Агоев,Александр,муж,51,184,Калининград,инженер,700000,нет
Агранов,Пётр,муж,27,175,Ачинск,директор предприятия,30000,нет
Аграфенина,Мария,жен,28,159,Санкт-Петербург,ведущий инженер,500000,нет
Агронина,Марина,жен,54,188,Ачинск,учитель,60000,нет
Агуева,Диана,жен,18,162,Рязань,кондитер,30000,да
Адалимова,Ольга,жен,22,163,Ачинск,руководитель группы,50000,нет
Адзинба,Марина,жен,35,183,Калининград,ведущий инженер,800000,нет
Адиянова,Кристина,жен,50,167,Рязань,директор предприятия,35000,да
Адольшина,Кристина,жен,26,168,Омск,руководитель группы,70000,да
Адушкаева,Евгения,жен,40,162,Омск,ведущий инженер,100000,да
Ажаев,Никита,муж,33,170,Калининград,кондитер,400000,да
Азадов,Андрей,муж,36,179,Мурманск,учитель,80000,да
Азарков,Сергей,муж,55,172,Рязань,ведущий инженер,200000,да
Азарьева,Евгения,жен,57,168,Мурманск,директор предприятия,100000,да
Аземша,Ольга,жен,50,164,Санкт-Петербург,кондитер,150000,да
Азжауров,Сергей,муж,37,169,Ачинск,директор предприятия,900000,да
Азмеров,Пётр,муж,40,158,Владимир,конструктор,300000,да
Азрилияна,Ольга,жен,45,185,Уфа,учитель,250000,да
Азюков,Никита,муж,38,167,Мурманск,бухгалтер,150000,нет
Айзатулов,Пётр,муж,43,158,Санкт-Петербург,руководитель группы,70000,да
Айляров,Максим,муж,30,184,Казань,учитель,700000,да
Аймаутова,Евгения,жен,39,168,Калининград,руководитель группы,25000,нет
Айнудинов,Антон,муж,24,163,Ачинск,учитель,35000,нет
Акакиева,Анна,жен,54,186,Санкт-Петербург,учитель,400000,да
Акатьев,Андрей,муж,29,180,Рязань,директор предприятия,400000,нет
Аква,Анна,жен,32,161,Уфа,бухгалтер,70000,нет
Акименков,Василий,муж,22,186,Калининград,директор предприятия,60000,да
Акимочев,Пётр,муж,52,162,Калининград,бухгалтер,900000,да
Акинфиев,Никита,муж,20,168,Мурманск,ведущий инженер,800000,нет
Акмаева,Евгения,жен,26,170,Москва,инженер,200000,нет
Аксанычев,Михаил,муж,28,165,Москва,директор предприятия,250000,да
Аксанычев,Антон,муж,38,181,Уфа,ведущий инженер,90000,да
Аксенычев,Александр,муж,50,182,Калининград,бухгалтер,30000,нет
Акташев,Василий,муж,32,161,Санкт-Петербург,инженер,300000,нет
Акшонина,Евгения,жен,18,172,Рязань,кондитер,20000,да
Алабугина,Мария,жен,54,159,Казань,конструктор,250000,нет
Аладова,Мария,жен,48,172,Владимир,кондитер,70000,нет
Аламанов,Андрей,муж,48,174,Омск,учитель,250000,нет
Алатова,Анастасия,жен,20,172,Калининград,конструктор,600000,нет
Алахвердиева,Анна,жен,43,172,Санкт-Петербург,директор предприятия,30000,нет
Албашеев,Андрей,муж,43,165,Калининград,учитель,900000,да
Алгатова,Марина,жен,36,169,Омск,кондитер,25000,да
Алдунина,Ольга,жен,33,163,Москва,инженер,800000,нет
Алебастров,Михаил,муж,30,163,Москва,учитель,350000,да
Алежейкина,Диана,жен,52,157,Казань,бухгалтер,250000,нет
Алекаева,Евгения,жен,42,161,Москва,кондитер,300000,да
Александрука,Анна,жен,21,167,Мурманск,учитель,80000,нет
Аленикова,Дарья,жен,51,164,Уфа,руководитель группы,400000,нет
Алешина-козырева,Кристина,жен,59,164,Москва,кондитер,600000,нет
Алипкина,Мария,жен,22,156,Казань,бухгалтер,20000,нет
