Фамилия,Имя,Пол,Возраст,Рост,Город,Должность,Зарплата,Транспорт
Ааронова,Евгения,жен,24,179,Казань,учитель,40000,нет
Абайкина,Дарья,жен,50,165,Рязань,ведущий инженер,30000,да
Абаляева,Ольга,жен,59,189,Москва,бухгалтер,40000,да
Абаринова,Анастасия,жен,21,181,Калининград,бухгалтер,800000,да
Абатуров,Никита,муж,21,159,Казань,директор предприятия,900000,нет
Аббесов,Александр,муж,29,171,Казань,конструктор,30000,да
Абдершина,Диана,жен,43,165,Санкт-Петербург,инженер,400000,нет
Абдокова,Анна,жен,20,166,Ачинск,конструктор,200000,да
Абдулаева,Ольга,жен,23,160,Владимир,директор предприятия,250000,нет
Абдулбяров,Пётр,муж,47,182,Омск,бухгалтер,300000,нет
Абдулкаримов,Никита,муж,29,163,Владимир,конструктор,40000,нет
Абдулрагимова,Анастасия,жен,58,180,Уфа,руководитель группы,800000,да
Абдульсиянов,Максим,муж,33,170,Казань,ведущий инженер,200000,нет
Абдуряхимов,Василий,муж,18,166,Омск,бухгалтер,150000,да
Абельдяев,Антон,муж,29,160,Ачинск,кондитер,150000,нет
Абирова,Ольга,жен,55,160,Мурманск,директор предприятия,25000,да
Абликина,Юлия,жен,30,184,Москва,бухгалтер,40000,нет
Абнова,Марина,жен,32,158,Владимир,учитель,45000,да
Абозина,Анна,жен,31,166,Казань,учитель,25000,да
Аболмазов,Максим,муж,49,183,Владимир,кондитер,25000,нет
Аболяева,Анна,жен,30,175,Омск,директор предприятия,500000,нет
Абоятина,Юлия,жен,55,172,Санкт-Петербург,руководитель группы,700000,да
Абрамина,Евгения,жен,58,187,Рязань,ведущий инженер,350000,да
Абрамова-федорова,Анна,жен,28,187,Уфа,инженер,150000,нет
Абратюнов,Михаил,муж,19,156,Владимир,кондитер,80000,нет
Абрдяшитов,Никита,муж,37,158,Мурманск,руководитель группы,45000,нет
Абросинова,Анастасия,жен,28,189,Мурманск,учитель,90000,да
Абрютина,Анна,жен,41,171,Омск,конструктор,60000,нет
Абузярова,Юлия,жен,28,162,Мурманск,инженер,700000,нет
Абуэль-нага,Кристина,жен,43,163,Мурманск,инженер,100000,да
Абшилова,Ольга,жен,18,171,Рязань,директор предприятия,600000,да
Авакимов,Антон,муж,21,177,Уфа,кондитер,800000,да
Авандеев,Сергей,муж,38,160,Ачинск,учитель,30000,нет
Авдалов,Пётр,муж,23,175,Санкт-Петербург,руководитель группы,700000,да
Авдеенкова,Марина,жен,24,181,Омск,учитель,90000,нет
Авдоницев,Михаил,муж,24,184,Владимир,кондитер,200000,нет
Авдошина,Ольга,жен,49,182,Омск,учитель,70000,нет
Авдякова,Диана,жен,53,187,Санкт-Петербург,руководитель группы,800000,да
Авдякова,Дарья,жен,25,163,Рязань,учитель,400000,да
Аверкеева,Ольга,жен,21,165,Ачинск,директор предприятия,100000,да
